product_name,category,price_min_inr,price_max_inr,price_mid_inr,price_unit,min_order_qty,supplier_name,supplier_city,supplier_state,supplier_rating,has_price,has_location,has_supplier,product_url,source,scraped_at,price_raw
Raspberry Pi Case,electronics,468.33,547.53,507.92999999999995,Piece,5 Kg,New Traders,Mangaluru,Karnataka,,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-75228535.html,indiamart.com (demo),2026-05-19 15:40:27.641229+00:00,₹ 468 - 548 / Piece
SMPS Power Supply OEM,electronics,624.74,735.52,680.13,Piece,1 Kg,Star Exports,Mysuru,Karnataka,4.8,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-oem-51837852.html,indiamart.com (demo),2026-05-15 15:37:08.641247+00:00,₹ 625 - 736 / Piece
PCB Board Bulk Pack,electronics,1241.64,1712.97,1477.305,Piece,1 Piece,New Suppliers,Pune,Maharashtra,3.5,True,True,True,https://www.indiamart.com/proddetail/pcb-board-bulk-pack-88979095.html,indiamart.com (demo),2026-05-17 19:41:27.641267+00:00,"₹ 1,242 - 1,713 / Piece"
MOSFET Transistor Bulk Pack,electronics,,,,,10 Pieces,Star Exports,Mumbai,Maharashtra,3.7,False,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-bulk-pack-99788677.html,indiamart.com (demo),2026-05-14 14:26:48.641279+00:00,Get Latest Price
LCD 16x2 Display Premium,electronics,34.39,61.65,48.019999999999996,Piece,50 Pieces,Sri Solutions,Faridabad,Delhi,4.0,True,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-premium-66851760.html,indiamart.com (demo),2026-05-15 12:05:30.641298+00:00,₹ 34 - 62 / Piece
Breadboard 830 Tie HD,electronics,1950.68,3040.44,2495.56,Piece,5 Kg,Om Exports,Nagpur,Maharashtra,4.5,True,True,True,https://www.indiamart.com/proddetail/breadboard-830-tie-hd-70211891.html,indiamart.com (demo),2026-05-18 19:00:10.641315+00:00,"₹ 1,951 - 3,040 / Piece"
MOSFET Transistor,electronics,112.22,140.65,126.435,Piece,10 Pieces,Allied Exports,New Delhi,Delhi,3.2,True,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-64547971.html,indiamart.com (demo),2026-05-14 14:22:50.641332+00:00,₹ 112 - 141 / Piece
SMPS Power Supply Export,electronics,4435.32,7810.36,6122.84,Piece,50 Kg,Global Suppliers,Nagpur,Maharashtra,4.7,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-export-75319931.html,indiamart.com (demo),2026-05-18 14:44:45.641350+00:00,"₹ 4,435 - 7,810 / Piece"
MOSFET Transistor,electronics,79.05,89.98,84.515,Piece,100 Meters,Star Suppliers,Nashik,Maharashtra,3.2,True,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-17634247.html,indiamart.com (demo),2026-05-14 07:55:05.641367+00:00,₹ 79 - 90 / Piece
Sensor DHT22 HD,electronics,,,,,5 Kg,New Agency,Coimbatore,Tamil Nadu,,False,True,True,https://www.indiamart.com/proddetail/sensor-dht22-hd-93131979.html,indiamart.com (demo),2026-05-19 11:57:16.641380+00:00,Get Latest Price
Raspberry Pi Case Standard,electronics,780.85,1125.28,953.065,Piece,1 Set,Jai Pvt Ltd,Nashik,Maharashtra,4.4,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-standard-52436584.html,indiamart.com (demo),2026-05-19 14:42:15.641398+00:00,"₹ 781 - 1,125 / Piece"
PCB Board Premium,electronics,,,,,10 Kg,Jai Corporation,Chennai,Tamil Nadu,,False,True,True,https://www.indiamart.com/proddetail/pcb-board-premium-42787299.html,indiamart.com (demo),2026-05-16 00:12:04.641410+00:00,Get Latest Price
Ethernet Switch Standard,electronics,296.19,431.37,363.78,Piece,50 Pieces,Jai Pvt Ltd,Bengaluru,Karnataka,,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-standard-24366125.html,indiamart.com (demo),2026-05-13 18:41:44.641430+00:00,₹ 296 - 431 / Piece
USB Type-C Connector Export,electronics,115.89,142.41,129.15,Piece,10 Kg,Indo Industries,Lucknow,Uttar Pradesh,,True,True,True,https://www.indiamart.com/proddetail/usb-type-c-connector-export-95132217.html,indiamart.com (demo),2026-05-15 08:27:30.641446+00:00,₹ 116 - 142 / Piece
Stepper Motor Driver OEM,electronics,23.21,30.35,26.78,Piece,1 Piece,Sri Traders,Mysuru,Karnataka,4.8,True,True,True,https://www.indiamart.com/proddetail/stepper-motor-driver-oem-30005727.html,indiamart.com (demo),2026-05-13 20:55:09.641466+00:00,₹ 23 - 30 / Piece
Arduino Uno Clone,electronics,,,,,50 Kg,National Industries,Tirupur,Tamil Nadu,4.0,False,True,True,https://www.indiamart.com/proddetail/arduino-uno-clone-38195995.html,indiamart.com (demo),2026-05-17 11:09:11.641482+00:00,Get Latest Price
Raspberry Pi Case Industrial Grade,electronics,168.41,247.41,207.91,Piece,500 Pieces,Global Industries,Mysuru,Karnataka,3.2,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-industrial-grade-54585178.html,indiamart.com (demo),2026-05-15 11:54:49.641501+00:00,₹ 168 - 247 / Piece
Sensor DHT22,electronics,4557.95,7640.29,6099.12,Piece,100 Meters,Om Exports,Kolkata,West Bengal,4.4,True,True,True,https://www.indiamart.com/proddetail/sensor-dht22-56930359.html,indiamart.com (demo),2026-05-16 18:56:26.641518+00:00,"₹ 4,558 - 7,640 / Piece"
PCB Board Standard,electronics,5722.76,7075.98,6399.37,Piece,1 Unit,Modern Suppliers,Rajkot,Gujarat,4.2,True,True,True,https://www.indiamart.com/proddetail/pcb-board-standard-81969657.html,indiamart.com (demo),2026-05-16 11:22:46.641536+00:00,"₹ 5,723 - 7,076 / Piece"
MOSFET Transistor HD,electronics,30.36,55.48,42.92,Piece,1 Meter,National Corporation,Mangaluru,Karnataka,4.2,True,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-hd-91363974.html,indiamart.com (demo),2026-05-14 06:52:16.641552+00:00,₹ 30 - 55 / Piece
LCD 16x2 Display,electronics,,,,,1 Kg,National Solutions,Mumbai,Maharashtra,,False,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-99152472.html,indiamart.com (demo),2026-05-16 11:39:22.641565+00:00,Get Latest Price
Breadboard 830 Tie OEM,electronics,1484.4,1746.62,1615.51,Piece,50 Kg,Star Enterprises,Faridabad,Delhi,3.5,True,True,True,https://www.indiamart.com/proddetail/breadboard-830-tie-oem-66431351.html,indiamart.com (demo),2026-05-15 21:23:59.641582+00:00,"₹ 1,484 - 1,747 / Piece"
Copper Wire 1mm Standard,electronics,6275.24,9489.3,7882.2699999999995,Piece,1 Kg,Global Agency,New Delhi,Delhi,4.6,True,True,True,https://www.indiamart.com/proddetail/copper-wire-1mm-standard-97873101.html,indiamart.com (demo),2026-05-16 13:58:19.641600+00:00,"₹ 6,275 - 9,489 / Piece"
PCB Board Standard,electronics,334.85,412.11,373.48,Piece,100 Kg,Sri Exports,Mysuru,Karnataka,4.7,True,True,True,https://www.indiamart.com/proddetail/pcb-board-standard-51663795.html,indiamart.com (demo),2026-05-17 18:24:09.641617+00:00,₹ 335 - 412 / Piece
Stepper Motor Driver OEM,electronics,49.78,56.31,53.045,Piece,1 Kg,United Solutions,Chennai,Tamil Nadu,4.4,True,True,True,https://www.indiamart.com/proddetail/stepper-motor-driver-oem-63640499.html,indiamart.com (demo),2026-05-17 12:46:05.641634+00:00,₹ 50 - 56 / Piece
LCD 16x2 Display Premium,electronics,,,,,500 Pieces,Allied Suppliers,Jaipur,Rajasthan,4.4,False,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-premium-16740197.html,indiamart.com (demo),2026-05-13 17:28:39.641647+00:00,Get Latest Price
Breadboard 830 Tie Export,electronics,4594.05,6398.01,5496.030000000001,Piece,1 Meter,Indo Suppliers,Salem,Tamil Nadu,4.4,True,True,True,https://www.indiamart.com/proddetail/breadboard-830-tie-export-31361812.html,indiamart.com (demo),2026-05-14 17:34:29.641664+00:00,"₹ 4,594 - 6,398 / Piece"
Raspberry Pi Case Standard,electronics,2146.28,3654.21,2900.245,Piece,50 Meters,Sri Pvt Ltd,Asansol,West Bengal,3.5,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-standard-46468984.html,indiamart.com (demo),2026-05-16 10:00:40.641683+00:00,"₹ 2,146 - 3,654 / Piece"
PCB Board OEM,electronics,654.06,774.94,714.5,Piece,1 Meter,National Suppliers,Agra,Uttar Pradesh,4.4,True,True,True,https://www.indiamart.com/proddetail/pcb-board-oem-65804273.html,indiamart.com (demo),2026-05-19 17:41:51.641699+00:00,₹ 654 - 775 / Piece
Sensor DHT22 Export,electronics,233.66,411.99,322.825,Piece,1 Piece,National Pvt Ltd,Meerut,Uttar Pradesh,5.0,True,True,True,https://www.indiamart.com/proddetail/sensor-dht22-export-62343121.html,indiamart.com (demo),2026-05-15 09:47:06.641716+00:00,₹ 234 - 412 / Piece
LCD 16x2 Display Export,electronics,1941.91,3236.28,2589.0950000000003,Piece,1 Piece,Global Corporation,Gurgaon,Delhi,4.7,True,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-export-64266464.html,indiamart.com (demo),2026-05-18 11:45:40.641733+00:00,"₹ 1,942 - 3,236 / Piece"
PCB Board OEM,electronics,6206.49,11405.09,8805.79,Piece,100 Pieces,Indo Manufacturing,Bengaluru,Karnataka,3.2,True,True,True,https://www.indiamart.com/proddetail/pcb-board-oem-16749089.html,indiamart.com (demo),2026-05-17 08:03:28.641750+00:00,"₹ 6,206 - 11,405 / Piece"
SMPS Power Supply HD,electronics,70.51,91.9,81.20500000000001,Piece,100 Meters,Shree Suppliers,Vadodara,Gujarat,,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-hd-56970882.html,indiamart.com (demo),2026-05-17 18:31:28.641769+00:00,₹ 71 - 92 / Piece
LED Display Module Industrial Grade,electronics,2774.16,4275.25,3524.705,Piece,5 Kg,Jai Manufacturing,Mysuru,Karnataka,4.7,True,True,True,https://www.indiamart.com/proddetail/led-display-module-industrial-grade-25353091.html,indiamart.com (demo),2026-05-13 15:33:57.641787+00:00,"₹ 2,774 - 4,275 / Piece"
Relay Module 5V Standard,electronics,384.98,484.11,434.545,Piece,50 Pieces,New Industries,Chennai,Tamil Nadu,3.7,True,True,True,https://www.indiamart.com/proddetail/relay-module-5v-standard-87282128.html,indiamart.com (demo),2026-05-15 22:31:04.641805+00:00,₹ 385 - 484 / Piece
Copper Wire 1mm HD,electronics,2116.86,2430.63,2273.745,Piece,5 Pieces,National Suppliers,Chennai,Tamil Nadu,4.2,True,True,True,https://www.indiamart.com/proddetail/copper-wire-1mm-hd-98787891.html,indiamart.com (demo),2026-05-15 23:53:50.641825+00:00,"₹ 2,117 - 2,431 / Piece"
Li-Ion Battery 18650 HD,electronics,,,,,1 Meter,National Manufacturing,Nagpur,Maharashtra,4.8,False,True,True,https://www.indiamart.com/proddetail/li-ion-battery-18650-hd-30534124.html,indiamart.com (demo),2026-05-15 04:59:20.641837+00:00,Get Latest Price
Stepper Motor Driver OEM,electronics,498.05,767.02,632.535,Piece,10 Kg,National Exports,Hubli,Karnataka,,True,True,True,https://www.indiamart.com/proddetail/stepper-motor-driver-oem-47437115.html,indiamart.com (demo),2026-05-15 00:31:41.641854+00:00,₹ 498 - 767 / Piece
Relay Module 5V Export,electronics,345.76,521.45,433.605,Piece,1 Kg,National Pvt Ltd,Nashik,Maharashtra,4.0,True,True,True,https://www.indiamart.com/proddetail/relay-module-5v-export-47535126.html,indiamart.com (demo),2026-05-17 03:21:53.641871+00:00,₹ 346 - 521 / Piece
Li-Ion Battery 18650 Export,electronics,551.68,671.23,611.4549999999999,Piece,50 Meters,Allied Industries,Noida,Delhi,,True,True,True,https://www.indiamart.com/proddetail/li-ion-battery-18650-export-49491631.html,indiamart.com (demo),2026-05-17 19:17:21.641888+00:00,₹ 552 - 671 / Piece
LCD 16x2 Display Bulk Pack,electronics,78.5,121.75,100.125,Piece,1 Unit,United Manufacturing,Madurai,Tamil Nadu,3.7,True,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-bulk-pack-51154241.html,indiamart.com (demo),2026-05-17 10:36:26.641905+00:00,₹ 78 - 122 / Piece
Bluetooth HC-05 Module Premium,electronics,2064.62,2675.57,2370.0950000000003,Piece,100 Meters,Bharat Agency,Mysuru,Karnataka,5.0,True,True,True,https://www.indiamart.com/proddetail/bluetooth-hc-05-module-premium-80415568.html,indiamart.com (demo),2026-05-17 01:24:16.641923+00:00,"₹ 2,065 - 2,676 / Piece"
Arduino Uno Clone Standard,electronics,4338.71,5567.72,4953.215,Piece,5 Pieces,Shree Suppliers,Gandhinagar,Gujarat,3.7,True,True,True,https://www.indiamart.com/proddetail/arduino-uno-clone-standard-26948946.html,indiamart.com (demo),2026-05-14 12:51:18.641942+00:00,"₹ 4,339 - 5,568 / Piece"
Copper Wire 1mm Export,electronics,,,,,100 Meters,Prime Corporation,,,3.2,False,False,True,https://www.indiamart.com/proddetail/copper-wire-1mm-export-16895666.html,indiamart.com (demo),2026-05-17 10:17:39.641952+00:00,Get Latest Price
Arduino Uno Clone Industrial Grade,electronics,351.87,593.41,472.64,Piece,50 Kg,Sri Exports,Mumbai,Maharashtra,,True,True,True,https://www.indiamart.com/proddetail/arduino-uno-clone-industrial-grade-84903294.html,indiamart.com (demo),2026-05-15 10:36:51.641970+00:00,₹ 352 - 593 / Piece
Copper Wire 1mm OEM,electronics,3354.22,4153.16,3753.6899999999996,Piece,50 Kg,New Agency,Faridabad,Delhi,,True,True,True,https://www.indiamart.com/proddetail/copper-wire-1mm-oem-91823275.html,indiamart.com (demo),2026-05-19 06:55:48.641987+00:00,"₹ 3,354 - 4,153 / Piece"
Ethernet Switch HD,electronics,71.01,87.28,79.14500000000001,Piece,500 Pieces,Shree Solutions,Pune,Maharashtra,4.4,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-hd-89699989.html,indiamart.com (demo),2026-05-14 18:57:43.642003+00:00,₹ 71 - 87 / Piece
SMPS Power Supply Premium,electronics,71.59,113.58,92.58500000000001,Piece,1 Meter,Sri Suppliers,Noida,Delhi,3.5,True,True,True,https://www.indiamart.com/proddetail/smps-power-supply-premium-96924061.html,indiamart.com (demo),2026-05-18 16:26:15.642020+00:00,₹ 72 - 114 / Piece
Copper Wire 1mm Export,electronics,4437.41,5083.43,4760.42,Piece,50 Pieces,Prime Pvt Ltd,Gandhinagar,Gujarat,4.8,True,True,True,https://www.indiamart.com/proddetail/copper-wire-1mm-export-64023778.html,indiamart.com (demo),2026-05-17 04:32:11.642038+00:00,"₹ 4,437 - 5,083 / Piece"
LCD 16x2 Display Bulk Pack,electronics,488.82,562.54,525.68,Piece,10 Kg,Shree Traders,,,3.5,True,False,True,https://www.indiamart.com/proddetail/lcd-16x2-display-bulk-pack-87201917.html,indiamart.com (demo),2026-05-20 05:47:28.642055+00:00,₹ 489 - 563 / Piece
Relay Module 5V Export,electronics,1512.36,1914.61,1713.485,Piece,50 Meters,Bharat Enterprises,,,4.6,True,False,True,https://www.indiamart.com/proddetail/relay-module-5v-export-68503492.html,indiamart.com (demo),2026-05-14 12:36:30.642069+00:00,"₹ 1,512 - 1,915 / Piece"
Breadboard 830 Tie OEM,electronics,380.79,517.4,449.095,Piece,100 Meters,Bharat Solutions,Pune,Maharashtra,5.0,True,True,True,https://www.indiamart.com/proddetail/breadboard-830-tie-oem-83832717.html,indiamart.com (demo),2026-05-20 01:08:42.642099+00:00,₹ 381 - 517 / Piece
Ethernet Switch Export,electronics,139.44,181.42,160.43,Piece,1 Meter,Shree Exports,New Delhi,Delhi,4.5,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-export-58557203.html,indiamart.com (demo),2026-05-14 10:38:14.642119+00:00,₹ 139 - 181 / Piece
Li-Ion Battery 18650 HD,electronics,2753.36,3371.27,3062.315,Piece,1 Piece,Modern Agency,Hubli,Karnataka,5.0,True,True,True,https://www.indiamart.com/proddetail/li-ion-battery-18650-hd-42117961.html,indiamart.com (demo),2026-05-18 13:42:10.642135+00:00,"₹ 2,753 - 3,371 / Piece"
Stepper Motor Driver HD,electronics,20.0,25.22,22.61,Piece,100 Pieces,Prime Pvt Ltd,Jaipur,Rajasthan,4.5,True,True,True,https://www.indiamart.com/proddetail/stepper-motor-driver-hd-46698468.html,indiamart.com (demo),2026-05-15 10:48:48.642153+00:00,₹ 20 - 25 / Piece
USB Type-C Connector Industrial Grade,electronics,11701.14,14621.14,13161.14,Piece,10 Pieces,Bharat Solutions,Gandhinagar,Gujarat,4.0,True,True,True,https://www.indiamart.com/proddetail/usb-type-c-connector-industrial-grade-78147397.html,indiamart.com (demo),2026-05-17 06:00:51.642173+00:00,"₹ 11,701 - 14,621 / Piece"
Arduino Uno Clone Export,electronics,113.87,146.29,130.07999999999998,Piece,100 Meters,National Corporation,Hubli,Karnataka,4.5,True,True,True,https://www.indiamart.com/proddetail/arduino-uno-clone-export-82937948.html,indiamart.com (demo),2026-05-15 21:57:48.642190+00:00,₹ 114 - 146 / Piece
LCD 16x2 Display,electronics,151.97,184.68,168.325,Piece,100 Kg,United Manufacturing,Coimbatore,Tamil Nadu,4.8,True,True,True,https://www.indiamart.com/proddetail/lcd-16x2-display-61167978.html,indiamart.com (demo),2026-05-15 19:22:49.642206+00:00,₹ 152 - 185 / Piece
USB Type-C Connector Bulk Pack,electronics,2986.64,4603.34,3794.99,Piece,50 Pieces,Indo Manufacturing,Mysuru,Karnataka,,True,True,True,https://www.indiamart.com/proddetail/usb-type-c-connector-bulk-pack-80591959.html,indiamart.com (demo),2026-05-14 22:44:38.642223+00:00,"₹ 2,987 - 4,603 / Piece"
PCB Board Export,electronics,,,,,10 Kg,National Agency,Jodhpur,Rajasthan,4.8,False,True,True,https://www.indiamart.com/proddetail/pcb-board-export-63349308.html,indiamart.com (demo),2026-05-19 12:26:25.642236+00:00,Get Latest Price
Ethernet Switch,electronics,4149.04,7138.35,5643.695,Piece,10 Pieces,Om Pvt Ltd,Vadodara,Gujarat,3.5,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-22130508.html,indiamart.com (demo),2026-05-15 05:25:49.642253+00:00,"₹ 4,149 - 7,138 / Piece"
LED Display Module,electronics,2376.27,3763.75,3070.01,Piece,100 Kg,Allied Industries,Nashik,Maharashtra,3.7,True,True,True,https://www.indiamart.com/proddetail/led-display-module-58112135.html,indiamart.com (demo),2026-05-15 22:39:12.642269+00:00,"₹ 2,376 - 3,764 / Piece"
PCB Board OEM,electronics,85.31,116.13,100.72,Piece,5 Kg,Prime Agency,Pune,Maharashtra,3.2,True,True,True,https://www.indiamart.com/proddetail/pcb-board-oem-41163805.html,indiamart.com (demo),2026-05-14 21:30:51.642290+00:00,₹ 85 - 116 / Piece
Ethernet Switch Industrial Grade,electronics,328.28,509.93,419.105,Piece,10 Pieces,Prime Corporation,Gurgaon,Delhi,4.6,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-industrial-grade-50151803.html,indiamart.com (demo),2026-05-15 08:14:41.642306+00:00,₹ 328 - 510 / Piece
Raspberry Pi Case OEM,electronics,359.92,463.25,411.58500000000004,Piece,1 Unit,New Pvt Ltd,Jaipur,Rajasthan,4.8,True,True,True,https://www.indiamart.com/proddetail/raspberry-pi-case-oem-49625201.html,indiamart.com (demo),2026-05-20 05:26:36.642323+00:00,₹ 360 - 463 / Piece
Li-Ion Battery 18650 Standard,electronics,1376.08,1746.48,1561.28,Piece,5 Kg,New Corporation,Kanpur,Uttar Pradesh,3.5,True,True,True,https://www.indiamart.com/proddetail/li-ion-battery-18650-standard-95445405.html,indiamart.com (demo),2026-05-18 04:27:14.642340+00:00,"₹ 1,376 - 1,746 / Piece"
MOSFET Transistor Standard,electronics,1367.74,2185.91,1776.8249999999998,Piece,50 Meters,Shree Agency,Kolkata,West Bengal,4.0,True,True,True,https://www.indiamart.com/proddetail/mosfet-transistor-standard-27637794.html,indiamart.com (demo),2026-05-19 09:34:50.642357+00:00,"₹ 1,368 - 2,186 / Piece"
USB Type-C Connector Standard,electronics,147.16,200.69,173.925,Piece,500 Pieces,Bharat Manufacturing,Durgapur,West Bengal,5.0,True,True,True,https://www.indiamart.com/proddetail/usb-type-c-connector-standard-49613214.html,indiamart.com (demo),2026-05-16 09:10:33.642376+00:00,₹ 147 - 201 / Piece
Ethernet Switch Bulk Pack,electronics,413.56,474.7,444.13,Piece,10 Pieces,Allied Solutions,Vadodara,Gujarat,,True,True,True,https://www.indiamart.com/proddetail/ethernet-switch-bulk-pack-45495029.html,indiamart.com (demo),2026-05-13 23:32:45.642393+00:00,₹ 414 - 475 / Piece
Sensor DHT22 Bulk Pack,electronics,,,,,50 Pieces,Modern Exports,Lucknow,Uttar Pradesh,4.4,False,True,True,https://www.indiamart.com/proddetail/sensor-dht22-bulk-pack-13358751.html,indiamart.com (demo),2026-05-13 16:18:43.642405+00:00,Get Latest Price
Welding Machine MIG OEM,industrial_machinery,127876.78,196647.78,162262.28,Unit,50 Pieces,Jai Industries,Gurgaon,Delhi,,True,True,True,https://www.indiamart.com/proddetail/welding-machine-mig-oem-50851122.html,indiamart.com (demo),2026-05-14 12:20:47.642425+00:00,"₹ 127,877 - 196,648 / Unit"
Pneumatic Cylinder Bulk Pack,industrial_machinery,,,,,1 Meter,New Enterprises,Faridabad,Delhi,4.2,False,True,True,https://www.indiamart.com/proddetail/pneumatic-cylinder-bulk-pack-97902129.html,indiamart.com (demo),2026-05-19 06:59:30.642437+00:00,Get Latest Price
Pneumatic Cylinder Export,industrial_machinery,119802.26,215198.03,167500.145,Unit,5 Kg,Indo Corporation,Agra,Uttar Pradesh,,True,True,True,https://www.indiamart.com/proddetail/pneumatic-cylinder-export-59302863.html,indiamart.com (demo),2026-05-13 21:14:48.642456+00:00,"₹ 119,802 - 215,198 / Unit"
CNC Lathe Machine Premium,industrial_machinery,184940.46,210712.3,197826.38,Unit,1 Piece,Shree Corporation,Hubli,Karnataka,3.5,True,True,True,https://www.indiamart.com/proddetail/cnc-lathe-machine-premium-26901217.html,indiamart.com (demo),2026-05-13 15:23:19.642474+00:00,"₹ 184,940 - 210,712 / Unit"
Centrifugal Pump Industrial Grade,industrial_machinery,461094.7,675379.03,568236.865,Unit,1 Piece,Bharat Enterprises,Howrah,West Bengal,3.2,True,True,True,https://www.indiamart.com/proddetail/centrifugal-pump-industrial-grade-82506491.html,indiamart.com (demo),2026-05-17 10:49:32.642492+00:00,"₹ 461,095 - 675,379 / Unit"
Metal Shearing Machine Bulk Pack,industrial_machinery,6864.43,11855.35,9359.89,Unit,1 Piece,Jai Pvt Ltd,Surat,Gujarat,,True,True,True,https://www.indiamart.com/proddetail/metal-shearing-machine-bulk-pack-27013243.html,indiamart.com (demo),2026-05-15 09:13:12.642509+00:00,"₹ 6,864 - 11,855 / Unit"
Pneumatic Cylinder Premium,industrial_machinery,292174.42,411065.15,351619.78500000003,Unit,5 Pieces,United Suppliers,New Delhi,Delhi,3.7,True,True,True,https://www.indiamart.com/proddetail/pneumatic-cylinder-premium-71477426.html,indiamart.com (demo),2026-05-20 02:45:38.642527+00:00,"₹ 292,174 - 411,065 / Unit"
Pneumatic Cylinder Export,industrial_machinery,,,,,10 Pieces,Sri Corporation,New Delhi,Delhi,4.6,False,True,True,https://www.indiamart.com/proddetail/pneumatic-cylinder-export-29909029.html,indiamart.com (demo),2026-05-19 16:42:09.642539+00:00,Get Latest Price
Diesel Generator 10KVA Standard,industrial_machinery,,,,,50 Meters,Star Agency,Madurai,Tamil Nadu,4.2,False,True,True,https://www.indiamart.com/proddetail/diesel-generator-10kva-standard-23311507.html,indiamart.com (demo),2026-05-19 02:30:30.642551+00:00,Get Latest Price
Hydraulic Jack 10 Ton Premium,industrial_machinery,155203.24,254434.07,204818.655,Unit,1 Meter,National Manufacturing,Nagpur,Maharashtra,4.2,True,True,True,https://www.indiamart.com/proddetail/hydraulic-jack-10-ton-premium-65833185.html,indiamart.com (demo),2026-05-19 08:08:17.642568+00:00,"₹ 155,203 - 254,434 / Unit"
CNC Lathe Machine HD,industrial_machinery,26345.02,33105.93,29725.475,Unit,10 Pieces,Sri Solutions,Varanasi,Uttar Pradesh,,True,True,True,https://www.indiamart.com/proddetail/cnc-lathe-machine-hd-60015814.html,indiamart.com (demo),2026-05-18 21:56:06.642585+00:00,"₹ 26,345 - 33,106 / Unit"
